algorithm,seed,dim,best_div_score,runtime
SDNE,0,32,0.0036794612380656,230.951342
SDNE,0,32,0.0036872125036357,233.979594
SDNE,0,64,0.0042120260993368,231.999769
SDNE,0,64,0.0025147617469282,230.574346
SDNE,0,128,0.0030452925021516,244.841153
SDNE,0,128,0.0028215414503714,233.223661
VERSE,0,4,0.0038754914872,746.869365
VERSE,0,4,0.0034924902098791,845.656819
VERSE,0,8,4.068704839780479e-05,689.347644
VERSE,0,8,4.18967053306285e-05,646.568446
VERSE,0,16,3.291504030550319e-05,703.865114
VERSE,0,16,4.334623969556073e-05,694.936744
VERSE,0,32,0.0001081551823653,919.416306
VERSE,0,32,0.0001057271640795,904.727342
VERSE,0,64,3.9068387192275135e-05,1595.26797
VERSE,0,64,3.6091025855856834e-05,1588.299633
VERSE,0,128,0.0003009187496366,2409.015013
VERSE,0,128,0.0002933663536428,2575.126644
N2V,0,4,0.00355426978277,619.541721
N2V,0,4,0.0035783245879508,634.062858
N2V,0,8,9.37298841507045e-05,662.530965
N2V,0,8,8.392240983087006e-05,650.81191
N2V,0,16,0.0001705092225844,674.123436
N2V,0,16,0.0001767236329034,637.287495
N2V,0,32,0.0001884269173201,648.457394
N2V,0,32,0.0001489417624491,713.791671
N2V,0,64,0.0001202933463901,671.66875
N2V,0,64,0.0001309515562663,668.00423
N2V,0,128,0.0001212842408839,790.944877
N2V,0,128,0.0001129862673227,732.558813
HOPE,0,4,0.005430183239185,1057.574023
HOPE,0,4,0.005430183239185,1033.489205
HOPE,0,8,0.0027085181594179,1156.929279
HOPE,0,8,0.0027085181594179,1018.691148
HOPE,0,16,0.0023722274887099,1064.262737
HOPE,0,16,0.0023722274887099,1036.134412
HOPE,0,32,0.0031155030175394,1218.023506
HOPE,0,32,0.0031155030175394,1118.151172
HOPE,0,64,0.0029298550199347,1214.399091
HOPE,0,64,0.0029298550199347,1206.226568
HOPE,0,128,0.0025570146450785,1315.705572
HOPE,0,128,0.0025570146450785,1268.833978
DeepWalk,0,4,0.0042217599666237,739.548594
DeepWalk,0,4,0.0043612476196291,701.027346
DeepWalk,0,8,0.0012590645817156,662.036378
DeepWalk,0,8,0.0012550132546457,939.458879
DeepWalk,0,16,0.0015395621852951,1092.344563
DeepWalk,0,16,0.0015319940202039,1140.849452
DeepWalk,0,32,0.0011204869991708,1347.9267
DeepWalk,0,32,0.0010754958352318,1352.689633
DeepWalk,0,64,0.0008388863378896,1625.872016
DeepWalk,0,64,0.0007675590766379,1635.709476
DeepWalk,0,128,0.0004836167370115,2629.87704
DeepWalk,0,128,0.0005077927408473,2623.251271
LINE,0,4,0.0056708921538822,189.356746
LINE,0,4,0.0056708921538822,188.824286
LINE,0,8,0.0033952631861176,196.614659
LINE,0,8,0.0033952631861176,201.919655
LINE,0,16,0.0007042532754673,214.90064
LINE,0,16,0.0007042532754673,215.349385
LINE,0,32,0.0026442814338016,249.432506
LINE,0,32,0.0026442814338016,249.35693
LINE,0,64,0.0008287970547593,320.823864
LINE,0,64,0.0008287970547593,330.486568
LINE,0,128,0.0006226291357473,533.572145
LINE,0,128,0.0006226291357473,552.391226
SDNE,0,4,0.0034656838754053,272.733456
SDNE,0,4,0.0051918194689197,218.524623
SDNE,0,8,0.0032578889494773,241.67121
SDNE,0,8,0.0037437407006286,222.798887
SDNE,0,16,0.0028417277356479,251.208233
SDNE,0,16,0.0034216506909451,241.264939
SDNE,0,32,0.0038598724803691,248.038825
SDNE,0,32,0.0041636780923903,228.727534
SDNE,0,64,0.003849649565664,258.355757
SDNE,0,64,0.0031235518166352,246.720974
SDNE,0,128,0.0035418215189475,215.433422
SDNE,0,128,0.0028891791389837,218.958491
VERSE,0,4,0.0039100079600362,708.371701
VERSE,0,4,0.0040438842553273,766.603235
VERSE,0,8,5.595801362850461e-05,644.90563
VERSE,0,8,1.615134164042991e-05,655.776719
VERSE,0,16,3.6595184828861984e-05,692.694883
VERSE,0,16,4.418811693365153e-05,703.921978
VERSE,0,32,7.424217061571533e-05,970.62386
VERSE,0,32,6.352868782422172e-05,919.959752
VERSE,0,64,8.115860529901521e-05,1599.721
VERSE,0,64,3.174294477287511e-05,1654.893728
VERSE,0,128,0.000317817995779,2604.756265
VERSE,0,128,0.0003168002583813,2508.533328
N2V,0,4,0.0036152636593987,637.785873
N2V,0,4,0.0035665157537202,669.451282
N2V,0,8,8.2402010294706e-05,627.693319
N2V,0,8,0.0001065473137614,621.103793
N2V,0,16,0.0001481048741738,712.983726
N2V,0,16,0.0001841260994973,693.92646
N2V,0,32,0.0001676113741506,635.849293
N2V,0,32,0.0001700219612742,681.213421
N2V,0,64,0.0001303123508152,710.05174
N2V,0,64,0.0001297796399158,677.804262
N2V,0,128,9.50705561025776e-05,778.031245
N2V,0,128,0.0001221432369045,696.64618
HOPE,0,4,0.005430183239185,1095.805411
HOPE,0,4,0.005430183239185,1032.858026
HOPE,0,8,0.0027085181594179,1055.588708
HOPE,0,8,0.0027085181594179,1065.734802
HOPE,0,16,0.0023722274887099,1044.507496
HOPE,0,16,0.0023722274887099,1112.591856
HOPE,0,32,0.0031155030175394,1050.852369
HOPE,0,32,0.0031155030175394,1098.371975
HOPE,0,64,0.0029298550199347,1121.232935
HOPE,0,64,0.0029298550199347,1201.955773
HOPE,0,128,0.0025570146450785,1169.389923
HOPE,0,128,0.0025570146450785,1221.182261
