experiment,algorithm,beta,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed,iter,alg_duration,cge_duration
3,deepWalk,1.2,1.75,0.0083520167537620166,0.008833898993089,0.0078701345144350336,128,200,0,diameter,exp3_network_seed17_param1_2.dat,1607666212,00:07:37.953161,00:00:11.464307
3,deepWalk,1.2,1.75,0.0043001768083027487,0.0054841770660442324,0.0031161765505612659,128,200,0,diameter,exp3_network_seed18_param1_2.dat,1607666212,00:07:40.634357,00:00:11.498827
3,deepWalk,1.2,2,0.0071135406449375589,0.0070064998796893312,0.0072205814101857866,128,200,0,diameter,exp3_network_seed19_param1_2.dat,1607666212,00:07:46.106190,00:00:11.674632
3,deepWalk,1.1,1.75,0.0064026527073010814,0.0084260153026597222,0.0043792901119424407,128,200,0,diameter,exp3_network_seed1_param1_1.dat,1607666212,00:07:43.703693,00:00:11.787823
3,deepWalk,1.3,1.75,0.0086034994023136378,0.0098448785230647925,0.0073621202815624832,128,200,0,diameter,exp3_network_seed20_param1_3.dat,1607666212,00:07:43.360389,00:00:11.643749
3,deepWalk,1.3,1.75,0.00900108798663055,0.0096834397571219331,0.0083187362161391658,128,200,0,diameter,exp3_network_seed21_param1_3.dat,1607666212,00:07:36.441986,00:00:11.642408
3,deepWalk,1.3,1.75,0.0077538836047657649,0.0085255708658127,0.006982196343718829,128,200,0,diameter,exp3_network_seed22_param1_3.dat,1607666212,00:07:38.576330,00:00:11.731533
3,deepWalk,1.3,1.5,0.0057347302785533873,0.006477054267593655,0.0049924062895131205,128,200,0,diameter,exp3_network_seed23_param1_3.dat,1607666212,00:07:44.133253,00:00:11.816626
3,deepWalk,1.3,1.75,0.0066050463770797856,0.0075325479209746582,0.0056775448331849122,128,200,0,diameter,exp3_network_seed24_param1_3.dat,1607666212,00:07:46.709351,00:00:11.697569
3,deepWalk,1.3,1.75,0.0061196546975943594,0.0073049299524463682,0.0049343794427423515,128,200,0,diameter,exp3_network_seed25_param1_3.dat,1607666212,00:07:43.207299,00:00:12.203026
3,deepWalk,1.3,1.75,0.0047357980854082441,0.0058385117552242037,0.0036330844155922854,128,200,0,diameter,exp3_network_seed26_param1_3.dat,1607666212,00:07:42.571517,00:00:11.615788
3,deepWalk,1.3,2,0.0071280546826163471,0.0081041528333347414,0.0061519565318979537,128,200,0,diameter,exp3_network_seed27_param1_3.dat,1607666212,00:07:48.060092,00:00:11.843955
3,deepWalk,1.3,1.75,0.0061719839625933061,0.0062160013454688728,0.0061279665797177385,128,200,0,diameter,exp3_network_seed28_param1_3.dat,1607666212,00:07:49.636956,00:00:11.776547
3,deepWalk,1.3,1.75,0.00778645520080878,0.008751415378404603,0.0068214950232129562,128,200,0,diameter,exp3_network_seed29_param1_3.dat,1607666212,00:07:42.826455,00:00:11.728256
3,deepWalk,1.1,1.75,0.0066498345678907486,0.0082379322717797288,0.0050617368640017675,128,200,0,diameter,exp3_network_seed2_param1_1.dat,1607666212,00:07:43.686287,00:00:11.686324
3,deepWalk,1.4,1.5,0.0063176666334576071,0.0064585445997840949,0.0061767886671311185,128,200,0,diameter,exp3_network_seed30_param1_4.dat,1607666212,00:07:46.091122,00:00:11.613606
3,deepWalk,1.4,1.75,0.011806239871448075,0.011801547886855564,0.011810931856040586,128,200,0,diameter,exp3_network_seed31_param1_4.dat,1607666212,00:07:50.232996,00:00:11.898342
3,deepWalk,1.1,1.5,0.0057748940594244741,0.0063031904397249667,0.0052465976791239814,128,200,0,diameter,exp3_network_seed0_param1_1.dat,1607666292,00:07:42.406123,00:00:11.710508
3,deepWalk,1.2,2,0.005522563211540198,0.0074637458992069493,0.0035813805238734476,128,200,0,diameter,exp3_network_seed10_param1_2.dat,1607666292,00:07:47.943882,00:00:11.952212
3,deepWalk,1.2,1.5,0.0070370250116984917,0.0069092222213184267,0.0071648278020785576,128,200,0,diameter,exp3_network_seed11_param1_2.dat,1607666292,00:07:44.098383,00:00:11.821305
3,deepWalk,1.2,1.75,0.0042546170239717972,0.0049460215914189053,0.0035632124565246896,128,200,0,diameter,exp3_network_seed12_param1_2.dat,1607666292,00:07:57.040541,00:00:12.270775
3,deepWalk,1.2,1.75,0.0073827009476556925,0.0068740063832889832,0.0078913955120224026,128,200,0,diameter,exp3_network_seed13_param1_2.dat,1607666292,00:07:50.413130,00:00:11.740410
3,deepWalk,1.2,1.75,0.0072175656812393605,0.0073395602834074218,0.0070955710790712992,128,200,0,diameter,exp3_network_seed14_param1_2.dat,1607666292,00:07:50.404814,00:00:11.849741
3,deepWalk,1.2,1.75,0.0060997849363359649,0.0063025018203434228,0.0058970680523285071,128,200,0,diameter,exp3_network_seed15_param1_2.dat,1607666292,00:07:47.400212,00:00:11.968666
